OptionA_Self,OptionA_Other,OptionB_Self,OptionB_Other
25,16,10,19
10,10,5,15
15,25,25,15
20,20,5,35
10,25,25,10
10,21,30,19
10,10,15,5
10,25,30,15
19,10,16,25
14,10,15,11
12,8,6,11
15,10,20,9.99
5.99,10,6,5
15,25,16,5
5,30,30,5
19,30,21,10
20,5,15,30
21,10,20,30
35,5,20,20
10,5.99,5,6
8,5,7,10
8,5,5,20
15,25,14.99,30
11,5,10,15
25,15,30,14.99
15,20,10,5
9.99,20,10,15
10,7,5,8
10,21,30,20
5,30,25,28
25,15,11,22
15,25,22,11
19,35,22,5
35,19,5,22
10,21,11,1
25,15,5,16
12,8,11,6
20,10,30,15
20,5,5,8
1,11,21,10
30,15,5,20
5,6,8,10
25,10,15,30
15,10,5,11
28,25,30,5
20,20,10,15
